(0, 0.05, 25.498576850094878, 2220.9407020872864)
(1, 0.05, 28.908659549228943, 3043.4514827995254)
(2, 0.05, 30.96821631878558, 2608.0479127134727)
(3, 0.05, 24.498457156420603, 1954.0507951578447)
(4, 0.05, 31.358177070970804, 3091.439354379302)
(0, 0.05, 20.97550432276657, 1565.6162343900096)
(1, 0.05, 23.754141656662664, 1756.1397358943577)
(2, 0.05, 26.156580211335253, 2018.779538904899)
(3, 0.05, 17.16090297790586, 1058.0321805955812)
(4, 0.05, 25.72399711746337, 2036.3720874369444)
(0, 0.05, 24.894711992445703, 1928.9263456090653)
(1, 0.05, 29.80600189035917, 2719.046550094518)
(2, 0.05, 28.330025986298132, 2377.2386014646822)
(3, 0.05, 25.35633270321361, 2314.65595463138)
(4, 0.05, 30.65540859707133, 3332.3157770429852)
(0, 0.05, 25.345322103346234, 2018.7093102663327)
(1, 0.05, 27.194488726941472, 2298.7904805283533)
(2, 0.05, 31.919362186788156, 2717.9790432801824)
(3, 0.05, 23.473000683527, 1660.0936431989064)
(4, 0.05, 29.616856492027335, 2681.3699316628704)
(0, 0.05, 24.545935988947733, 1842.4837669813494)
(1, 0.05, 32.39147465437788, 3902.7688940092166)
(2, 0.05, 31.24493087557604, 2777.3002304147467)
(3, 0.05, 27.465668202764977, 2779.030184331797)
(4, 0.05, 33.22311766060327, 3873.348376698135)
(0, 0.05, 25.290487238979118, 1951.3136890951275)
(1, 0.05, 28.97493618008819, 2438.5766999303783)
(2, 0.05, 26.82632923148363, 1844.602043185512)
(3, 0.05, 24.021128395635014, 1795.5855583933132)
(4, 0.05, 32.25864871140005, 3301.506384954725)
(0, 0.05, 24.655820348304307, 1992.1865261228231)
(1, 0.05, 28.478918423464712, 2621.5549954170488)
(2, 0.05, 32.3490717396287, 2913.6270914508364)
(3, 0.05, 22.156507791017415, 1795.315077910174)
(4, 0.05, 30.165215398716775, 2906.8150779101743)
(0, 0.05, 24.83977900552486, 2167.394106813996)
(1, 0.05, 29.14927436074637, 2913.8417415342087)
(2, 0.05, 31.98687543172922, 2880.662905825466)
(3, 0.05, 25.278443113772454, 2180.779134039613)
(4, 0.05, 30.205665591893137, 3092.7708429295258)
(0, 0.05, 29.91551528878822, 3209.087429218573)
(1, 0.05, 32.96082427536232, 3458.721240942029)
(2, 0.05, 34.52412231030578, 3402.0235560588903)
(3, 0.05, 28.32245637888058, 2591.6050305914346)
(4, 0.05, 33.21935191479719, 3764.9873102198053)
(0, 0.05, 21.854683195592287, 1505.5185950413222)
(1, 0.05, 24.81834862385321, 1647.7155963302753)
(2, 0.05, 28.269451457424832, 1999.962818453064)
(3, 0.05, 23.15036730945822, 1603.6219008264463)
